fecha,tipo_cambio
2024-01-04,7257.89
2024-01-05,7282.49
2024-01-08,7287.73
2024-01-09,7297.41
2024-01-10,7295.75
2024-01-11,7272.24
2024-01-12,7270.1
2024-01-15,7283.69
2024-01-16,7287.53
2024-01-17,7287.15
2024-01-18,7298.59
2024-01-19,7314.38
2024-01-22,7309.88
2024-01-23,7300.59
2024-01-24,7304.84
2024-01-25,7293.29
2024-01-26,7277.92
2024-01-29,7279.82
2024-01-30,7281.83
2024-01-31,7280.74
2024-02-01,7271.63
2024-02-02,7264.14
2024-02-05,7279.71
2024-02-06,7290.12
2024-02-07,7292.22
2024-02-08,7284.03
2024-02-09,7286.75
2024-02-12,7280.11
2024-02-13,7288.19
2024-02-14,7294.24
2024-02-15,7297.27
2024-02-16,7307.41
2024-02-19,7303.73
2024-02-20,7290.19
2024-02-21,7280.42
2024-02-22,7278.32
2024-02-23,7286.58
2024-02-26,7298.18
2024-02-27,7301.5
2024-02-28,7290.64
2024-02-29,7304.95
2024-03-04,7300.64
2024-03-05,7286.84
2024-03-06,7287.6
2024-03-07,7293.82
2024-03-08,7292.72
2024-03-11,7291.13
2024-03-12,7305.03
2024-03-13,7302.58
2024-03-14,7299.93
2024-03-15,7302.38
2024-03-18,7307.89
2024-03-19,7321.31
2024-03-20,7329.24
2024-03-21,7342.74
2024-03-22,7352.59
2024-03-25,7370.05
2024-03-26,7380.6
2024-03-27,7398.63
2024-04-01,7389.07
2024-04-02,7369.71
2024-04-03,7374.58
2024-04-04,7377.2
2024-04-05,7374.49
2024-04-08,7375.39
2024-04-09,7383.19
2024-04-10,7389.39
2024-04-11,7401.11
2024-04-12,7411.12
2024-04-15,7411.17
2024-04-16,7406.87
2024-04-17,7406.33
2024-04-18,7405.77
2024-04-19,7416.05
2024-04-22,7423.83
2024-04-23,7437.36
2024-04-24,7437.17
2024-04-25,7444.1
2024-04-26,7456.96
2024-04-29,7479.42
2024-04-30,7500.25
2024-05-02,7496.55
2024-05-03,7480.13
2024-05-06,7474.67
2024-05-07,7478.25
2024-05-08,7487.71
2024-05-09,7501.46
2024-05-10,7512.13
2024-05-13,7511.65
2024-05-16,7499.31
2024-05-17,7498.01
2024-05-20,7514.13
2024-05-21,7521.48
2024-05-22,7522.91
2024-05-23,7527.2
2024-05-24,7525.67
2024-05-27,7535.26
2024-05-28,7541.83
2024-05-29,7547.95
2024-05-30,7544.07
2024-05-31,7529.12
2024-06-03,7529.85
2024-06-04,7532.22
2024-06-05,7530.08
2024-06-06,7533.32
2024-06-07,7528.41
2024-06-11,7526.01
2024-06-12,7519.4
2024-06-13,7527.89
2024-06-14,7531.19
2024-06-17,7529.18
2024-06-18,7530.35
2024-06-19,7531.08
2024-06-20,7534.19
2024-06-21,7537.97
2024-06-24,7543.33
2024-06-25,7542.56
2024-06-26,7541.11
2024-06-27,7543.85
2024-06-28,7539.62
2024-07-01,7538.77
2024-07-02,7541.08
2024-07-03,7541.46
2024-07-04,7539.03
2024-07-05,7540.5
2024-07-08,7545.04
2024-07-09,7543.8
2024-07-10,7543.0
2024-07-11,7543.04
2024-07-12,7544.7
2024-07-15,7556.65
2024-07-16,7558.07
2024-07-17,7553.73
2024-07-18,7562.33
2024-07-19,7572.45
2024-07-22,7572.18
2024-07-23,7579.39
2024-07-24,7587.74
2024-07-25,7578.1
2024-07-26,7574.12
2024-07-29,7569.03
2024-07-30,7579.56
2024-07-31,7583.26
2024-08-01,7580.53
2024-08-02,7581.23
2024-08-05,7575.9
2024-08-06,7572.05
2024-08-07,7574.17
2024-08-08,7574.77
2024-08-09,7569.97
2024-08-12,7569.53
2024-08-13,7571.25
2024-08-14,7573.69
2024-08-16,7582.16
2024-08-19,7590.62
2024-08-20,7588.16
2024-08-21,7593.4
2024-08-22,7601.21
2024-08-23,7610.29
2024-08-26,7619.28
2024-08-27,7632.1
2024-08-28,7652.49
2024-08-29,7679.58
2024-08-30,7683.6
2024-09-02,7692.2
2024-09-03,7714.72
2024-09-04,7736.82
2024-09-05,7731.01
2024-09-06,7737.96
2024-09-09,7729.01
2024-09-10,7733.09
2024-09-11,7743.98
2024-09-12,7762.5
2024-09-13,7775.16
2024-09-16,7777.81
2024-09-17,7793.16
2024-09-18,7811.2
2024-09-19,7804.34
2024-09-20,7788.17
2024-09-23,7783.61
2024-09-24,7803.59
2024-09-25,7813.97
2024-09-26,7809.03
2024-09-27,7799.24
2024-10-01,7795.26
2024-10-02,7799.89
2024-10-03,7797.73
2024-10-04,7805.38
2024-10-07,7804.15
2024-10-08,7800.78
2024-10-09,7802.08
2024-10-10,7812.55
2024-10-11,7822.6
2024-10-14,7827.51
2024-10-15,7837.69
2024-10-16,7859.93
2024-10-17,7918.22
2024-10-18,7931.66
2024-10-21,7922.48
2024-10-22,7934.42
2024-10-23,7958.61
2024-10-24,8000.53
2024-10-25,7975.35
2024-10-28,7948.59
2024-10-29,7921.92
2024-10-30,7907.57
2024-10-31,7874.31
2024-11-01,7847.7
2024-11-04,7793.36
2024-11-05,7769.81
2024-11-06,7810.87
2024-11-07,7820.32
2024-11-08,7814.85
2024-11-11,7802.79
2024-11-12,7813.39
2024-11-13,7808.3
2024-11-14,7798.05
2024-11-15,7792.02
2024-11-18,7827.33
2024-11-19,7842.45
2024-11-20,7808.67
2024-11-21,7800.51
2024-11-22,7803.65
2024-11-25,7813.42
2024-11-26,7803.86
2024-11-27,7811.63
2024-11-28,7805.73
2024-11-29,7798.04
2024-12-02,7810.84
2024-12-03,7819.77
2024-12-04,7826.67
2024-12-05,7825.79
2024-12-06,7813.19
2024-12-09,7822.03
2024-12-10,7830.43
2024-12-11,7833.13
2024-12-12,7829.76
2024-12-13,7817.53
2024-12-16,7810.8
2024-12-17,7807.53
2024-12-18,7800.63
2024-12-19,7811.62
2024-12-20,7801.99
2024-12-23,7787.53
2024-12-24,7787.13
2024-12-26,7809.1
2024-12-27,7808.37
2024-12-30,7831.26
2025-01-02,7865.88
2025-01-03,7913.63
2025-01-06,7920.51
2025-01-07,7891.39
2025-01-08,7861.68
2025-01-09,7873.07
2025-01-10,7883.49
2025-01-13,7894.56
2025-01-14,7888.03
2025-01-15,7875.34
2025-01-16,7891.66
2025-01-17,7924.32
2025-01-20,7909.42
2025-01-21,7912.4
2025-01-22,7916.14
2025-01-23,7918.96
2025-01-24,7913.89
2025-01-27,7901.88
2025-01-28,7896.51
2025-01-29,7892.69
2025-01-30,7891.87
2025-01-31,7877.48
2025-02-03,7879.24
2025-02-04,7883.1
2025-02-05,7888.23
2025-02-06,7887.59
2025-02-07,7885.06
2025-02-10,7875.38
2025-02-11,7869.97
2025-02-12,7887.85
2025-02-13,7906.02
2025-02-14,7905.67
2025-02-17,7912.14
2025-02-18,7902.4
2025-02-19,7906.64
2025-02-20,7901.26
2025-02-21,7914.15
2025-02-24,7924.6
2025-02-25,7934.59
2025-02-26,7930.1
2025-02-27,7924.11
2025-02-28,7923.42
2025-03-04,7916.26
2025-03-05,7920.83
2025-03-06,7926.31
2025-03-07,7935.98
2025-03-10,7933.84
2025-03-11,7931.62
2025-03-12,7945.03
2025-03-13,7954.54
2025-03-14,7978.82
2025-03-17,7981.37
2025-03-18,7992.37
2025-03-19,7999.55
2025-03-20,7981.68
2025-03-21,7997.23
2025-03-24,8010.32
2025-03-25,8012.4
2025-03-26,8013.74
2025-03-27,7966.06
2025-03-28,7988.65
2025-03-31,7994.25
2025-04-01,8008.23
2025-04-02,8029.54
2025-04-03,8021.66
2025-04-04,8012.08
2025-04-07,8013.91
2025-04-08,8008.42
2025-04-09,8012.16
2025-04-10,8007.64
2025-04-11,8005.27
2025-04-14,8000.94
2025-04-15,8005.2
2025-04-16,8013.88
2025-04-21,8011.59
2025-04-22,8009.2
2025-04-23,8008.24
2025-04-24,8006.47
2025-04-25,8009.38
2025-04-28,8014.1
2025-04-29,8013.03
2025-04-30,8006.85
2025-05-02,8005.28
2025-05-05,8007.03
2025-05-06,7996.18
2025-05-07,7992.23
2025-05-08,8002.92
2025-05-09,7990.86
2025-05-12,7989.28
2025-05-13,7987.67
2025-05-16,7990.33
2025-05-19,7991.52
2025-05-20,7993.05
2025-05-21,7977.01
